id,text,created_at,lang
1529697716368211968,RT mysputnik 에버랜드 X HYBE 가든 오브 라이츠 투바투 개쩔어유 어머뿔자    영원럽  GBGB 순으로 하는데 포시즌스 가든에서 들으니까 레전드로 웅장해짐 httpstcoGrmMnnbMd,2022-05-26 05:35:30+00:00,ko
1529697654334115842,RT Vholic Hybe successfully take the spotlight from Garam and throw Taehyung and Jennie under the bus   They really need  of the top i…,2022-05-26 05:35:15+00:00,en
1529697612659470336,RT armysachii jnklaina Im literally shock as well IDK if its real or not Because i thought this rumor will be solved once HYBE gave a…,2022-05-26 05:35:05+00:00,en
1529697533580427265,RT cyousoonyoung GIVEAWAY SPECIAL TH ANNIVERSARY SEVENTEEN CARAT ONLY  • postcard your choice • postcard dino hybe insight • postc…,2022-05-26 05:34:47+00:00,en
1529697457831297024,WTS LFB PH メイMerchShopOnhand  ENHYPEN Heeseung Dimension  Dilemma Hybe Insight Lucky Draw PC  php ALL IN  LSF — on hand and ready to ship — good condition  MOP gcash MOD sco  direct ggx   DM to order   wts lfb enhypen pc heeseung hybe insight dd ld httpstcojGHRnZXdG,2022-05-26 05:34:29+00:00,en
1529697452336369664,RT jeonsmilftae Thank god hybe doesnt gaf about yalls ridiculous opinions httpstcoPdLiiDRfJ,2022-05-26 05:34:27+00:00,en
1529697359642636288,RT pledis SEVENTEEN세븐틴 th Anniversary Merch MOMENT  QampA  SEVENTEENs MOMENT  앞으로도 좋은 MOMENT 만들자구요 캐럿들과 함께한 년 중 세븐틴의 기억에 남은 순…,2022-05-26 05:34:05+00:00,ko
1529697347948920832,RT pledis SEVENTEEN세븐틴 th Anniversary Merch MOMENT  Design Behind  세븐틴의 손길이 담긴 주년 기념 머치 멤버들의 손그림에 숨겨진 의미는   httpstco…,2022-05-26 05:34:02+00:00,ko
1529697307616088064,RT stigma Tae got mad during that time when mfs invaded his privacy and came up with rumors when he was just minding his own business b…,2022-05-26 05:33:53+00:00,en
1529697201814794240,RE HYBE  Dude  Throwing money at the accuser isnt going to solve your problems automatically  The whole situation in itself is legit just convoluted who bullied who but at least you shouldnt do THAT  For all anyone knows thats what theyre after to begin with,2022-05-26 05:33:27+00:00,en
1529697153681334273,RT pledis SEVENTEEN 세븐틴 th Album Comeback Show Face the Sun   HYBE LABELS YOUTUBE CHANNEL  NAVER NOW  LINE MUSIC  …,2022-05-26 05:33:16+00:00,en
1529697128666124288,see how everyone defending her r company stans theres something is in the hybe waters httpstcooNLISCIUsm,2022-05-26 05:33:10+00:00,en
1529697029731274752,sakura didnt leave her successful career in japan for this garam has hybe on chokehold fr theyre risking it all for her httpstcopTGdMfat,2022-05-26 05:32:46+00:00,en
1529697008029552640,RT BEtheBestJJ U got caught trying to break into HYBE trying to listen to BTS unreleased songs   Your last saved photo is breaking you…,2022-05-26 05:32:41+00:00,en
1529696960294572032,RT Bluelovesick We know yg would never defend the pinks on these rumors but hybe would release a statement within  minutes when it comes…,2022-05-26 05:32:30+00:00,en
1529696950630883328,Hitman bang stepped down the CEO position and hybe started to fall off Like remove the problematic one already,2022-05-26 05:32:28+00:00,en
1529696802836193280,RT cchunemin hybebh is so quiet abt taehyung amp jennie dating it’s like it’s true compared to the past dating issues of bts’ members…,2022-05-26 05:31:52+00:00,en
1529696758175248384,RT angelfairykoo Armys HYBE close the gym  Jungkook  No gym no problem  httpstcoxfJciRHnA,2022-05-26 05:31:42+00:00,en
1529696694488944640,Now that youve shown hybe how easy it is to distract yall how predictable your reactions are going to be theyll resort to similar dirty tactics in the future if any other problem within the company arises Rest assured theyll use their publicly loved artist as a scapegoat,2022-05-26 05:31:27+00:00,en
1529696454616694784,milaskv I think the Garam issue is just  of the many things that HYBE has to deal with the past months  look at this and I knew there will be no statements released A dating rumor between  famous idols makes less of an impact on  than them being attacked for Garam and Bobby httpstcothodqqSPX,2022-05-26 05:30:29+00:00,en
1529696380230696960,RT Yooviviraa 김가람탈퇴해 hybe가 김가람과 괴롭힘을 당한 사람을 화해시키는 것을 의논하고 있다는데 그게 바로 횡포실망치 아닙니까hybe가 제정신이 아니에요 httpstcoBwZqrIgvzG,2022-05-26 05:30:12+00:00,ko
1529696278367846400,None they can all go to hell   Except old bighit before hybe httpstcoEyAQiUGwuy httpstconkgTlORo,2022-05-26 05:29:47+00:00,en
1529696274802683904,RT SunooBarChina ʚ 𝐘𝐨𝐮𝐫 𝐓𝐰𝐞𝐧𝐭𝐲 ɞ   김선우 생일 응원 프로젝트   하이브 앞 버스 정류장 광고     한강대교북단 LG유플러스 HYBE 건너편    V  월의선우핑…,2022-05-26 05:29:46+00:00,ko
1529696231739383808,fuck you hybe httpstcoLiZLMWXb,2022-05-26 05:29:36+00:00,en
1529696202157072384,RT asamirenes honestly kim garam couldve just apologized left the group and then maybe move on with her life but nooo she and hybe HAD t…,2022-05-26 05:29:29+00:00,en
1529696189502787584,it’s sad how you guys say “even if she’s innocent it’s better if she gets removed from the group”  you’re also destroying the girl’s dreams what happened to fighting for what is right hybe is doing the best they can and still you have something disrespectful to say,2022-05-26 05:29:26+00:00,en
1529696188764672000,RT LomuMolin billboard New Record Maker   Jimin n Sungwoon spend a third week at No  on the Billboard HotTrendingSongs chart   Hybe…,2022-05-26 05:29:26+00:00,en
1529696181407862784,RT prettybunkookie I totally agree with this Taehyungs fake dating rumor is spreading only because hybe wants to divert the focus from…,2022-05-26 05:29:24+00:00,en
1529696131994636289,RT jaysgaIIery park jongseong in hybe shirt httpstcoBTWOESVX,2022-05-26 05:29:12+00:00,en
1529696068975349760,Schnappyss ETxBTS kkukstudio btsbighit ItsBennyBlanco Yeah I’ll admit it they made it extremely vague so I couldn’t tell either if it was for performances or what but I do agree a lot of people wanted LTB and I hope Hybe does in fact release a remix because LTB deserves more respect,2022-05-26 05:28:57+00:00,en
1529695937131847681,RT prodyngs somewhere in the hybe headquarters jungkook and taehyun fell to their knees,2022-05-26 05:28:26+00:00,en
1529695808404090880,JKJEONT They are artist not their fvking issues to covered up Hybè gh to h€,2022-05-26 05:27:55+00:00,en
1529695796496543744,westenthu fairyytale i dont see people hybe this song too much ,2022-05-26 05:27:52+00:00,en
1529695795544395777,hybe is the type of parents that would say namanya juga anak kecil,2022-05-26 05:27:52+00:00,en
1529695783951290368,jjkrsen Just let bts stan talk bad to gfriendcos hybe slowly show they also can do the same  to bts Look at nowhybe even willing using bts to cover garam case might be for bts fan this cos bts unprofitable too ,2022-05-26 05:27:49+00:00,en
1529695758223478784,taetengen how about jennie she arent even related to hybe  httpstcodSAPvJGT,2022-05-26 05:27:43+00:00,en
