id,text,created_at,lang
1529697654334115842, Hybe successfully take the spotlight from Garam and throw Taehyung and Jennie under the bus   They really need  of the top i…,2022-05-26 05:35:15+00:00,en
1529697612659470336, jnklaina Im literally shock as well IDK if its real or not Because i thought this rumor will be solved once HYBE gave a…,2022-05-26 05:35:05+00:00,en
1529697533580427265, GIVEAWAY SPECIAL TH ANNIVERSARY SEVENTEEN CARAT ONLY  • postcard your choice • postcard dino hybe insight • postc…,2022-05-26 05:34:47+00:00,en
1529697452336369664, Thank god hybe doesnt gaf about yalls ridiculous opinions ,2022-05-26 05:34:27+00:00,en
1529697307616088064, Tae got mad during that time when mfs invaded his privacy and came up with rumors when he was just minding his own business b…,2022-05-26 05:33:53+00:00,en
1529697201814794240,RE HYBE  Dude  Throwing money at the accuser isnt going to solve your problems automatically  The whole situation in itself is legit just convoluted who bullied who but at least you shouldnt do THAT  For all anyone knows thats what theyre after to begin with,2022-05-26 05:33:27+00:00,en
1529697153681334273, SEVENTEEN 세븐틴 th Album Comeback Show Face the Sun   HYBE LABELS YOUTUBE CHANNEL  NAVER NOW  LINE MUSIC  …,2022-05-26 05:33:16+00:00,en
1529697128666124288,see how everyone defending her r company stans theres something is in the hybe waters ,2022-05-26 05:33:10+00:00,en
1529697029731274752,sakura didnt leave her successful career in japan for this garam has hybe on chokehold fr theyre risking it all for her ,2022-05-26 05:32:46+00:00,en
1529697008029552640, U got caught trying to break into HYBE trying to listen to BTS unreleased songs   Your last saved photo is breaking you…,2022-05-26 05:32:41+00:00,en
1529696960294572032, We know yg would never defend the pinks on these rumors but hybe would release a statement within  minutes when it comes…,2022-05-26 05:32:30+00:00,en
1529696950630883328,Hitman bang stepped down the CEO position and hybe started to fall off Like remove the problematic one already,2022-05-26 05:32:28+00:00,en
1529696802836193280, hybebh is so quiet abt taehyung amp jennie dating it’s like it’s true compared to the past dating issues of bts’ members…,2022-05-26 05:31:52+00:00,en
1529696758175248384, Armys HYBE close the gym  Jungkook  No gym no problem  ,2022-05-26 05:31:42+00:00,en
1529696694488944640,Now that youve shown hybe how easy it is to distract yall how predictable your reactions are going to be theyll resort to similar dirty tactics in the future if any other problem within the company arises Rest assured theyll use their publicly loved artist as a scapegoat,2022-05-26 05:31:27+00:00,en
1529696454616694784,milaskv I think the Garam issue is just  of the many things that HYBE has to deal with the past months  look at this and I knew there will be no statements released A dating rumor between  famous idols makes less of an impact on  than them being attacked for Garam and Bobby ,2022-05-26 05:30:29+00:00,en
1529696278367846400,None they can all go to hell   Except old bighit before hybe  ,2022-05-26 05:29:47+00:00,en
1529696231739383808,fuck you hybe ,2022-05-26 05:29:36+00:00,en
1529696202157072384, honestly kim garam couldve just apologized left the group and then maybe move on with her life but nooo she and hybe HAD t…,2022-05-26 05:29:29+00:00,en
1529696189502787584,it’s sad how you guys say “even if she’s innocent it’s better if she gets removed from the group”  you’re also destroying the girl’s dreams what happened to fighting for what is right hybe is doing the best they can and still you have something disrespectful to say,2022-05-26 05:29:26+00:00,en
1529696181407862784, I totally agree with this Taehyungs fake dating rumor is spreading only because hybe wants to divert the focus from…,2022-05-26 05:29:24+00:00,en
1529696131994636289, park jongseong in hybe shirt ,2022-05-26 05:29:12+00:00,en
1529696068975349760,Schnappyss ETxBTS kkukstudio btsbighit ItsBennyBlanco Yeah I’ll admit it they made it extremely vague so I couldn’t tell either if it was for performances or what but I do agree a lot of people wanted LTB and I hope Hybe does in fact release a remix because LTB deserves more respect,2022-05-26 05:28:57+00:00,en
1529695937131847681, somewhere in the hybe headquarters jungkook and taehyun fell to their knees,2022-05-26 05:28:26+00:00,en
1529695808404090880,JKJEONT They are artist not their fvking issues to covered up Hybè gh to h€,2022-05-26 05:27:55+00:00,en
1529695796496543744,westenthu fairyytale i dont see people hybe this song too much ,2022-05-26 05:27:52+00:00,en
1529695795544395777,hybe is the type of parents that would say namanya juga anak kecil,2022-05-26 05:27:52+00:00,en
1529695783951290368,jjkrsen Just let bts stan talk bad to gfriendcos hybe slowly show they also can do the same  to bts Look at nowhybe even willing using bts to cover garam case might be for bts fan this cos bts unprofitable too ,2022-05-26 05:27:49+00:00,en
1529695758223478784,taetengen how about jennie she arent even related to hybe  ,2022-05-26 05:27:43+00:00,en
1529695710530387968,Gonna screenshot all the qrts and forward it to hybe  ,2022-05-26 05:27:32+00:00,en
1529695694868852736, HYBE is not considering replacing or removing Kim Garam from LESSERAFIM ,2022-05-26 05:27:28+00:00,en
1529695691735302144, conclusion  fuck you hybe ,2022-05-26 05:27:27+00:00,en
1529695643492487173,aysinnit Just go back to zero just because of some false rumors Though it havent been proven yet that Garam is innocent but if she is hybe cant just kick her out,2022-05-26 05:27:16+00:00,en
1529695531567435776, Everland Theme Park  Garden of Lights with HYBE  A new lighting show featuring HYBE artists songs and colorful lighting…,2022-05-26 05:26:49+00:00,en
1529697902314274816, 【Interview】Meeting Sakura chan and Kazuha san from LE SSERAFIM I AM SCREAMING   via YouTube https…,2022-05-26 05:36:14+00:00,en
1529697867081732096, BROO  Garam LESSERAFIM ,2022-05-26 05:36:06+00:00,en
1529697855060840448,  le sserafim  fearless  ive  love dive  psy ft suga  that that  dotsuitare hompo  ah osaka dreamin night  le sserafim  blue flame,2022-05-26 05:36:03+00:00,en
1529697853714468864, She shines   MiyawakiSakura SAKURA LESSERAFIM ,2022-05-26 05:36:03+00:00,en
1529697810471190528, Most Followed  Rookie Girl Groups on MelOn    VIVIZ –  followers   NMIXX –  followers   LE SSERAFIM…,2022-05-26 05:35:53+00:00,en
1529697745870942208, 오늘의르세라핌   SHOW CHAMPION  LESSERAFIM 르세라핌 FEARLESS ,2022-05-26 05:35:37+00:00,en
1529697733690261504, th gen idol group with most cumulated digital index points on Gaon in    aespaofficial  M IVE  M GIDL…,2022-05-26 05:35:34+00:00,en
1529697725213601793, congratulations to kim garam of le sserafim for being the fastest kpop gg member to be on a hiatus after debut,2022-05-26 05:35:32+00:00,en
1529697678883377152, MelOn Female Group Chart    GIDLE  IVE  LE SSERAFIM  DAVICHI  Red Velvet  aespa  OH MY GIR…,2022-05-26 05:35:21+00:00,en
1529697639863681024, LE SSERAFIM on SHOW CHAMPION today ,2022-05-26 05:35:12+00:00,en
1529697623157796864,Lessevotingorg lesserafim IMLESSERAFIM Done,2022-05-26 05:35:08+00:00,en
1529697598428573696, WATCH ASTRO Snags CandySugarPopndWin On Show Champion Performances By ONEUS LESSERAFIM Yerin And More …,2022-05-26 05:35:02+00:00,en
1529697591708880896, Vote SAKURA as the BEST VISUAL CENTER of all FEMALE IDOLS     SAKURA   votes  May     https…,2022-05-26 05:35:00+00:00,en
1529697574155739137, YEAY LE SSERAFIM ND WIN  ,2022-05-26 05:34:56+00:00,en
1529697558632988672,Officialasriany HYBEOFFICIALtwt SOURCEMUSIC lesserafim Luh youre no different from the bully bitch,2022-05-26 05:34:53+00:00,en
1529697552727044098, lesserafim FEARLESS returns to its peak of   on Bugs Daily Chart   IMLESSERAFIM LESSERAFIM 르세라핌 https…,2022-05-26 05:34:51+00:00,en
1529697508514877440,WTS  want to sell LE SSERAFIM SHOPEE THAILAND PHOTOCARD BENEFIT  르세라핌 양도  Video Only Thai bank account  Thai address  On hand  free shipping   Please offer DM only  ignore lowball offer ,2022-05-26 05:34:41+00:00,en
1529697508108009473, Gaon Weekly Digital Chart    FEARLESS —   total NEW PEAK  Peak Week  IMLES…,2022-05-26 05:34:40+00:00,en
1529697489011367937, CHOEAEDOL     HEARTS   Rules  LIKE  RETWEET  MUST FOLLOW COMMENT PROOF VIVIZ NMIXX LESSERAFIM AESPA,2022-05-26 05:34:36+00:00,en
1529697458078437376, hi this is a new account dedicated to jangchae IVE and LE SSERAFIM CHAEWON and WONYOUNG please like and rt to help spread…,2022-05-26 05:34:29+00:00,en
1529697436200890368, rchelminiGA   FANPLUS  GIVEAWAY POLL   WHOS GONNA HAVE THE BRIGHT FUTURE IN s     VTs  — follow me must…,2022-05-26 05:34:23+00:00,en
1529697433462026240, Hanteo Weekly Chart      YERIN ARIA   HYO DEEP   SongGain THE SONG OF LOVE …,2022-05-26 05:34:23+00:00,en
1529697416076742656, KBS potentially investigated by National Police for tampering with Lim Youngwoongs song charts for Le Sserafims Music B…,2022-05-26 05:34:19+00:00,en
1529697400188678144, Gaon Streaming Chart Week     FEARLESS   new peak  Peak   Weeks On Chart  lesserafim LESSER…,2022-05-26 05:34:15+00:00,en
1529697385160617987, VIDEO LESSERAFIM르세라핌  FEARLESS  SHOW CHAMPION   ,2022-05-26 05:34:11+00:00,en
1529697367317852161, Gaon Social Chart  Week     LE SSERAFIM  new peak  Peak   Weeks On Chart  lesserafim LESS…,2022-05-26 05:34:07+00:00,en
1529697351861870592, LE SSERAFIM LOOKS SO GOOD ,2022-05-26 05:34:03+00:00,en
1529697294882222080, Open for reservation    k jellies for prevoting on thth of May  Dm to reserve   Astro ONEUS LESSERAFIM THESH…,2022-05-26 05:33:50+00:00,en
1529697249680572417, ㅤ jacobbaea will use this free ts ticket to be Huh Yunjin from LE SSERAFIM RoyaIeRomain subroyaIeromain ㅤ …,2022-05-26 05:33:39+00:00,en
1529697157741064194, lesserafim FEARLESS has reached a new peak of   on Genie Daily Chart   IMLESSERAFIM LESSERAFIM 르세라핌 h…,2022-05-26 05:33:17+00:00,en
1529697115575767040, Most streamed Kpop Girl Group songs of  May  on Spotify filtered    LE SSERAFIM FEARLESS —     IVE L…,2022-05-26 05:33:07+00:00,en
1529697090259013633, INFO LE SSERAFIM Schedule   The Show  Show Champion  M Countdown  Music Bank  Inkigayo  …,2022-05-26 05:33:01+00:00,en
1529697025100349440, Our ethereal Huh Yunjin  YUNJIN 허윤진 LESSERAFIM IMLESSERAFIM ,2022-05-26 05:32:45+00:00,en
1529696996776325120,whats le sserafims fandom name,2022-05-26 05:32:39+00:00,en
1529697855518019586,wait the jennie v thing was real lmao hybe successfully altered the discussion from garam,2022-05-26 05:36:03+00:00,en
1529697780679049218, We need closure to Garam’s case instead of trashy news garamOUT,2022-05-26 05:35:45+00:00,en
1529697718066716672, LEsserafimsoul itgirIkazu it seems like you can look up superficial data on SVC cases recorded at Gyeongin Middle Sc…,2022-05-26 05:35:31+00:00,en
1529697453624152065,garamshine At this point people can say that garam murdeed someone and people will believe them,2022-05-26 05:34:28+00:00,en
1529697448288866304, Notice how the garam scandal suddenly disappeared… garamOUT,2022-05-26 05:34:26+00:00,en
1529697403065884672,KARAVlTY garam supporter too ik its a troll acc but its so annoying,2022-05-26 05:34:15+00:00,en
1529697382874525697, Bring us the closure to Garam’s case garamOUT,2022-05-26 05:34:11+00:00,en
1529697249801883649,We need closure to Garam’s case instead of trashy news garamOUT,2022-05-26 05:33:39+00:00,en
1529697179316756480, LSRFMChaewon We are on the same boat Ot until garam is proven guilty Only then we can cancel her out,2022-05-26 05:33:22+00:00,en
1529697175248293890,i think not hating on garam is great as bullying her back won’t change anything however u do realize it’s bette… — u talk like u know much when in fact u do not even know im NOT neutral protecting my friends who are does not m… ,2022-05-26 05:33:21+00:00,en
1529697141333151744, bullying garam back wont make u clean and cool youre no different,2022-05-26 05:33:13+00:00,en
1529697112799076352, Since I have seen a lot of disinformation going around about the Garam case I will explain the ongoing misunderstandings…,2022-05-26 05:33:06+00:00,en
1529697106667003905,Bring us the closure to Garam’s case garamOUT,2022-05-26 05:33:05+00:00,en
1529697085007843329, “we should bully garam to teach her a lesson”   …so you’re admitting you are also a schoolyard bully,2022-05-26 05:33:00+00:00,en
1529696957773537280,damn they released this song about people being so info illiterate and supporting and believing celebs that do bad things like they can do no wrong just in time for the garam scandal lmao ,2022-05-26 05:32:29+00:00,en
1529696895206952960, the garam issue articles disappeared just like that,2022-05-26 05:32:14+00:00,en
1529696880531165184, Congrats to two fkcersOne who failed to protect their artist and the Other for throwing their idol to save a FCKING BUL…,2022-05-26 05:32:11+00:00,en
1529696874034511872, allkpop Who was the employee GARAM ,2022-05-26 05:32:09+00:00,en
1529696767041675264,wait c garam centertapos sbng pa gnannouncewhile may issue satas like sakura is also therewtf,2022-05-26 05:31:44+00:00,en
1529696748721029121,brokelenciaga I think it was fake but something about Garam being appointed leader or centre,2022-05-26 05:31:39+00:00,en
1529696712066928640,Wattpad story written by Kim garam ,2022-05-26 05:31:31+00:00,en
1529696703439589376,kpop gg bg views followtrick like rt nsfw  loona bts red velvet rv fromis nct dream twice ateez got itzy skz svt day wayv exo txt everglow thread gain mutual giveaway promo ifb jikook comeback idol gc taekook au enhypen dot garam bully garamOUT ,2022-05-26 05:31:29+00:00,en
1529696682191253504, kim garam the best center   ,2022-05-26 05:31:24+00:00,en
1529696398710476800,BerryEnaira aysinnit garam will never be proven innocent the ministry of education already confirmed she received a level  bullying punishment it doesn’t matter if victim is lying or not the fact that she got a level  means that she did bully and it was really really bad,2022-05-26 05:30:16+00:00,en
1529696373691469824, So even if shes innocent you still want Garam to suffer the consequences of something she DID NOT do just so your faves…,2022-05-26 05:30:10+00:00,en
1529696277436329984,if garam is innocent she DESERVES to stay so stfu,2022-05-26 05:29:47+00:00,en
1529696207110799362, Don’t forget public need closure to Garam’s case  Don’t complicate things GaramOUT,2022-05-26 05:29:30+00:00,en
1529696187535740928, watching ot inkigayo lesserafim performance and theyve already changed the choreo and rerecorded the song with new line d…,2022-05-26 05:29:26+00:00,en
1529696141998280706,Garam is a fvcking bully Now cry me a river  Imagine being a shooter for that girlie just because shes pretty ,2022-05-26 05:29:15+00:00,en
1529698969369968640,it will be silly to think a badly set up dating rumour that is jennie and v will distract the masses from seungri’s case i dont think hybe and yg are THAT stupid,2022-05-26 05:40:29+00:00,en
1529698955944075264,OhTea yeah ever since they moved buildings and the label rebranded as hybe,2022-05-26 05:40:26+00:00,en
1529698922997772288, this one  fake pic can make them rank  and  look how good HYBE to cover Garam scandal  ,2022-05-26 05:40:18+00:00,en
1529698904672833536,tae take a bow damn you are so all i can say is free taehyung from hybe they dont deserve him,2022-05-26 05:40:13+00:00,en
1529698808472428544,pewpEwpiw HYBEJapantwt lalalalisawifey sitions if were talking lets talk about this ,2022-05-26 05:39:51+00:00,en
1529698491588648960,Wtf is hybe doing,2022-05-26 05:38:35+00:00,en
1529698422348914689,JungHobMinPark nothing new just hybe thing u know,2022-05-26 05:38:18+00:00,en
1529698406821597185,HYBE is using taehyung and jennie to cover up garams case FREE TAEHYUNG FROM HYBE we want answer yes or no fuck u hybe,2022-05-26 05:38:15+00:00,en
1529698381416673281, FreeTaehyung from HYBE   Free Taehyung from fake friends   Free Taehyung from fake stans   Free Taehyung from fake…,2022-05-26 05:38:09+00:00,en
1529698361409871873,hybe youre trash istg,2022-05-26 05:38:04+00:00,en
1529698322864558080,fuck u hybe,2022-05-26 05:37:55+00:00,en
1529698297312444416,queenrad yoonkittypd alienqueen NEXT YEAR IS BETTER FOR ME ANYWAY SO I AM VERY DOWN OMG IMAGINE IF WE CAN GO WHEN BTS ARE IN EUROPE FUCK HYBE DROP SOME DATES,2022-05-26 05:37:49+00:00,en
1529698259437948929, netizenbuzz Is it hybe new way of marketing strategy Cause ppl will look forward to this group when she is back,2022-05-26 05:37:40+00:00,en
1529698223073677312,bhavana Bluelovesick Hybe is literally the parent company of Bighit managed by the same authority who manage bighitbt belongs to Bighit and Bighit belongs to hybe so bt belongs to hybe,2022-05-26 05:37:31+00:00,en
1529697929182580736,joondelic Pnation Or hybe the only correct choices,2022-05-26 05:36:21+00:00,en
1529697860366630913, so surprised about v and jennie dating rumors especially with these pics that are surfacing around but whatever it is edited…,2022-05-26 05:36:04+00:00,en
1529697767534170112,hybeimbroke Its already warm,2022-05-26 05:35:42+00:00,en
1529697735921778688, ENHYPENmembers Loving the view at Hybe But you are the most beautiful view Sunoo ,2022-05-26 05:35:35+00:00,en
1529699184344870912, WATCH ASTRO Takes CandySugarPopstWin On The Show Performances By LESSERAFIM ONEUS Yerin And More …,2022-05-26 05:41:20+00:00,en
1529699182822363136, — LE SSERAFIM FEARLESS audio has surpassed  views on Youtube     IMLESSERAFIM LE…,2022-05-26 05:41:20+00:00,en
1529699178183786497, lesserafim FEARLESS – PM KST   Bugs   Flo    MelOn    Genie   MelOn ULs  …,2022-05-26 05:41:19+00:00,en
1529699167873904641, IDOLCHAMP Giveaway   All The KPick AD    Chamsims   votes  Rules  FOLLOW ME must reach k followers …,2022-05-26 05:41:16+00:00,en
1529699104841818112, bare faced beauty   KimGaram 김가람 LESSERAFIM ,2022-05-26 05:41:01+00:00,en
1529699046088396800, we love a supportive family  LESSERAFIM KAZUHA IVE ANYUJIN ,2022-05-26 05:40:47+00:00,en
1529699044217434112, SSERAFUNDS    for  likes  Make sure to follow princesspromos  LESSERAFIM SSERAISE FEARLESS LESSERAFIMF…,2022-05-26 05:40:47+00:00,en
1529699033186373632, made more le sserafim headers ,2022-05-26 05:40:44+00:00,en
1529699008565760000, lesserafim FEARLESS – AM KST   Bugs   MelOn  new peak  Genie   Flo    MelOn ULs …,2022-05-26 05:40:38+00:00,en
1529698998508228613,Im looking for gg stan only lets be moots esp orbit keplian dive le sserafim stan or gg stan only help rtlike,2022-05-26 05:40:36+00:00,en
1529698865787863040,IDOLCHAMP Giveaway   All The KPick AD    Chamsims   votes  Rules  FOLLOW ME must reach k followers   votes if failed  TURN ON NOTIFICATION  SEND PROOFS SUMinSUMout   LESSERAFIM vs ONEUS vs ASTRO vs TNX   LESSERAFIMVT oneusvoting,2022-05-26 05:40:04+00:00,en
1529698847185702915, le sserafim on show champion today ,2022-05-26 05:40:00+00:00,en
1529698733461753856, WEEKLYBESTCLIP SHOW CHAMPION EP Kang Butter  NINEi  LE SSERAFIM  Seung Guk Lee  Ciipher  ASTRO  ABIX  YER…,2022-05-26 05:39:33+00:00,en
1529698720501092353,— LE SSERAFIM FEARLESS audio has surpassed  views on Youtube     IMLESSERAFIM LESSERAFIM ,2022-05-26 05:39:30+00:00,en
1529698647147167744,Kazuha header for twitter LESSERAFIM Kazuha 가즈하 ,2022-05-26 05:39:12+00:00,en
1529698641912295425, Top  most viewed Kpop Acts MV on Youtube in LAST  hours  psyoppa SUGA GOT JESSI konnectdanielk BTStwt …,2022-05-26 05:39:11+00:00,en
