id,text,en_text,created_at,lang
1529697716368211968,에버랜드XHYBE가든오브라이츠투바투개쩔어유어머뿔자영원럽GBGB순으로하는데포시즌스가든에서들으니까레전드로웅장해짐,Everland XHYBE Garden of Bright&#39;s Tobacco It&#39;s in the order of GBGB and GBGB,2022-05-26 05:35:30+00:00,ko
1529696380230696960,김가람탈퇴해hybe가김가람과괴롭힘을당한사람을화해시키는것을의논하고있다는데그게바로횡포실망치아닙니까hybe가제정신이아니에요,"hybe is discussing reconciling the harassed person with kim garam, isn&#39;t that a tyrannical disappointment? hybe is crazy",2022-05-26 05:30:12+00:00,ko
1529696274802683904,ʚ𝐘𝐨𝐮𝐫𝐓𝐰𝐞𝐧𝐭𝐲ɞ김선우생일응원프로젝트하이브앞버스정류장광고한강대교북단LG유플러스HYBE건너편V월의선우핑…,ʚ𝐘𝐨𝐮𝐫𝐓𝐰𝐞𝐧𝐭𝐲ɞ Kim Seon-woo&#39;s Birthday Cheering Bus Stop in front of Project Hive Advertisement at the northern end of Hangang Bridge LG U Plus HYBE Across from V-Mon&#39;s Sunwooping…,2022-05-26 05:29:46+00:00,ko
1529697908945133568,플리캠SimplyKPopBehindClip아니진짜로리터럴리천사잖아요இ௰இ♡KROUND크라운드LESSERAFIM르세라핌Gocheck…,"Flickam SimplyKPopBehindClip No, you&#39;re really a literal angel இ௰இ♡KROUND LESSERAFIM LeSeraphim Gocheck…",2022-05-26 05:36:16+00:00,ko
1529697893870817280,라벤더베레모채원이김채원KIMCHAEWONチェウォン르세라핌LESSERAFIM,"Lavender beret Chae-won Kim, Chae-won KIMCHAEWON",2022-05-26 05:36:12+00:00,ko
1529697851726790656,플리캠SimplyKPopBehindClip천재만재아이돌윤진이헝크러진머리도고개돌리면서챡☆정리하는것봐요´▽ʃ♡ƪKROUND크라운드LESSERAFIM…,Flickam SimplyKPopBehindClip Genius full idol Yoonjin looks at her messy hair ☆ tidying up while she turns her head ´▽ʃ♡ƪKROUND Clown LESSERAFIM…,2022-05-26 05:36:02+00:00,ko
1529697678342651905,쇼챔직캠KLESSERAFIMFEARLESS르세라핌피어리스SHOWCHAMPION쇼챔피언LESSERAFIM르세라핌FEARLESS…,Show Champion KLESSERAFIMFEARLESS Show Champion LESSERAFIMF FEARLESS…,2022-05-26 05:35:21+00:00,ko
1529697651012227072,라벤더베레모채원이김채원KIMCHAEWONチェウォン르세라핌LESSERAFIM,lavender beret chaewon kim chaewon,2022-05-26 05:35:15+00:00,ko
1529697574575570945,MCOUNTDOWNEpLineup강다니엘LIGHTSUMLESSERAFIMBVNDIT밴디트싸이퍼Ciipher아스트로ASTROABIX에이비식스예린YERIN원어…,MCOUNTDOWNEpLineup Kang Daniel LIGHTSUMLESSERAFIMBVNDIT Bandit Cypher Cipher ASTROABIX Absix Yerin YERIN Original word…,2022-05-26 05:34:56+00:00,ko
1529697462562488321,retweetforkimchaewonbrandreputation르세라핌김채원김채원르세라핌김채원lesserafimIMLESSERAFIM,retweetforkimchaewonbrandreputationLe Seraphim Kim Chae-won Kim Chae-wonLe Seraphim Kim Chae-wonlesserafimIMLESSERAFIM,2022-05-26 05:34:30+00:00,ko
1529697432342171648,데뷔쇼케이스宮脇咲良사쿠라SAKURALESSERAFIM르세라핌,Debut showcase,2022-05-26 05:34:22+00:00,ko
1529697493088632834,학폭가해자는관심을받으며김가람탈퇴해사람들에게사랑받는직업은garamout절대로가질수없다고생각합니다쏘스뮤직해명해르세라핌에서저리꺼져주세요,"The bullying perpetrator gets attention, Kim Garam resigns and I think that I can never have a job loved by people garamout.",2022-05-26 05:34:37+00:00,ko
1529697471521505281,알티마음꼭부탁드려요김가람탈퇴해Garamout쏘스뮤직해명해,"Alti, please, please, please leave Garam Kim and explain Garamout Source Music",2022-05-26 05:34:32+00:00,ko
1529696607754919936,JoklInqtraqcian매번딱맞춰서귀여운대회올리는대형계들눈치좀챙겨회사계인증할거아니면말야멤버이름들어간쟤네들이싸질러논거밀어내고싶어서라면정바비참여곡삭제해정바비아웃김가람학폭gar…,"JoklInqtraqcian Keep an eye out for the big players who put up cute contests every time, unless you want to certify the company, or if you want to push out the argument they made with the member name, delete the song that Bobby Jeong participated in.",2022-05-26 05:31:06+00:00,ko
